week,building,kWh,gas_therm,water_gallon,heating_dd,normalized_kWh
2025-09-22,Campus Misc,0.0,0.0,0.0,0.0,0.0
2025-09-29,Campus Misc,0.0,0.0,0.0,0.0,0.0
2025-10-27,Campus Misc,18.9,0.0,0.0,0.0,18.9
2025-10-27,Green Music Center,56789.830245,0.0,0.0,0.0,56789.830245
2025-10-27,Ives Hall,700.871422,0.0,0.0,0.0,700.871422
2025-10-27,Nichols Hall,45331.386055,0.0,0.0,0.0,45331.386055
2025-10-27,Physical Education,2485.38,0.0,0.0,0.0,2485.38
2025-10-27,Rachel Carson Hall,0.0,0.0,0.0,0.0,0.0
2025-10-27,Student Center,6672.176427,0.0,0.0,0.0,6672.176427
2025-10-27,Student Health Center,0.0,0.0,0.0,0.0,0.0
2025-10-27,Wine Spectator Learning Ctr,4752.39,0.0,0.0,0.0,4752.39
2025-11-03,Campus Misc,26.49,0.0,0.0,0.0,26.49
2025-11-03,Green Music Center,215591.598822,0.0,0.0,0.0,215591.598822
2025-11-03,Ives Hall,939.044802,0.0,0.0,0.0,939.044802
2025-11-03,Nichols Hall,66514.225399,0.0,0.0,0.0,66514.225399
2025-11-03,Physical Education,3564.86,0.0,0.0,0.0,3564.86
2025-11-03,Rachel Carson Hall,0.0,0.0,0.0,0.0,0.0
2025-11-03,Student Center,8996.436895,0.0,0.0,0.0,8996.436895
2025-11-03,Student Health Center,0.011345,0.0,0.0,0.0,0.011345
2025-11-03,Wine Spectator Learning Ctr,10768.94,0.0,0.0,0.0,10768.94
2025-11-10,Campus Misc,26.9,0.0,0.0,0.0,26.9
2025-11-10,Green Music Center,86061.926991,0.0,0.0,0.0,86061.926991
2025-11-10,Ives Hall,1894.22706,0.0,0.0,0.0,1894.22706
2025-11-10,Nichols Hall,63244.565136,0.0,0.0,0.0,63244.565136
2025-11-10,Physical Education,3640.41,0.0,0.0,0.0,3640.41
2025-11-10,Rachel Carson Hall,0.0,0.0,0.0,0.0,0.0
2025-11-10,Student Center,8750.14864,0.0,0.0,0.0,8750.14864
2025-11-10,Student Health Center,0.0,0.0,0.0,0.0,0.0
2025-11-10,Wine Spectator Learning Ctr,7793.31,0.0,0.0,0.0,7793.31
2025-11-17,Campus Misc,27.53,0.0,0.0,0.0,27.53
2025-11-17,Green Music Center,167817.859278,0.0,0.0,0.0,167817.859278
2025-11-17,Ives Hall,4696.20341,0.0,0.0,0.0,4696.20341
2025-11-17,Nichols Hall,86774.586958,0.0,0.0,0.0,86774.586958
2025-11-17,Physical Education,5216.72,0.0,0.0,0.0,5216.72
